,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs,M. Total Questões,M. Questões Disc,M. Questões Banco,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
207,navegasas,2.46,2.67,16.67,1.0,0.5,0.0,0.4,0.0,0.0,2.8,0.0,0.0,0.0,1.2,3.0,2.17,1.38,0.0,0.0,2.94,0.0,5.56,2.94,6.29,0.0,0.0
208,nsfatima,0.97,1.27,1.82,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.25,1.11,0.0,0.0,1.09,0.75,0.5,1.5
209,pesenglish,1.44,0.83,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.0,0.0
210,portalsas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,sasadaptfund,1.29,1.03,0.0,1.9,0.0,0.29,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.5,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.17,0.0
212,senhorbonfim,1.03,1.27,0.82,0.3,0.08,2.0,5.26,0.0,0.0,2.75,0.0,0.0,0.0,1.79,0.2,0.44,0.0,0.33,1.75,1.11,0.0,0.0,1.05,2.5,3.83,0.0
213,tiquinhodegente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.09,0.0,0.0,0.0
214,valdemiracoelho,0.96,1.13,1.39,0.33,0.0,0.2,6.85,0.0,0.2,0.25,0.0,0.0,0.0,0.58,0.18,0.23,0.15,0.0,0.08,0.96,0.0,0.0,1.16,0.25,0.77,0.0
215,visaorecife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,acessoemilianoperneta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,albertocabral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,amais,1.42,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,antoniocesar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
