,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs,M. Total Questões,M. Questões Disc,M Questões Banco,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
111,overmarciliofurtado,0.85,1.44,0.2,0.05,0.75,0.5,0.22,1.17,0.0,0.0,0.0,0.0,2.87,0.89,0.0,0.0,0.25,0.25,0.67,0.42,0.33,7.5,0.89,0.75,1.11,1.0
112,overmossoro,0.92,1.29,0.93,0.05,1.42,0.4,0.56,0.83,0.5,0.0,0.0,0.0,1.8,0.67,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.0,0.44,0.0,0.33,0.5
113,overnascimentodecastro,0.81,1.39,0.0,0.0,0.0,0.0,0.13,0.07,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.0,0.08,0.0,0.0,2.71,0.0,0.0,0.47,0.0,0.0,0.0
114,overpontanegra,0.78,1.39,1.08,0.14,1.45,0.39,0.4,0.86,0.0,0.38,0.77,1.33,1.26,0.4,1.83,0.34,0.33,0.35,0.14,0.57,0.0,0.0,0.33,0.24,1.13,1.28
115,overzonanorte,0.89,1.38,0.4,0.05,1.92,0.4,1.0,1.0,0.0,0.5,0.0,0.33,2.33,0.33,0.0,0.0,0.75,0.5,1.33,0.33,0.0,0.0,0.67,1.25,0.89,0.5
116,palmares,1.26,1.31,0.0,1.42,3.12,0.0,0.76,1.56,3.22,2.67,0.0,0.0,0.0,0.0,4.76,4.55,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0
117,physicsalcindocacela,1.41,0.88,0.0,0.78,0.07,0.28,0.12,0.3,0.25,0.41,1.67,0.0,0.28,0.32,0.54,0.07,2.17,0.04,0.0,6.09,0.0,1.5,0.22,0.18,0.2,0.0
118,physicsalmirantebarroso,1.17,0.95,0.21,2.59,0.43,0.72,0.94,1.44,0.33,1.0,8.33,1.0,0.81,0.95,1.35,0.69,2.2,0.25,1.08,0.09,0.0,0.67,0.11,0.88,1.49,0.12
119,physicsaugustomontenegro,1.2,0.82,0.18,2.71,0.23,1.06,1.67,0.43,0.22,0.75,0.77,1.33,0.45,0.93,1.44,0.69,0.42,0.23,0.71,0.14,0.0,0.0,0.07,0.71,0.58,0.61
120,physicsbatistacampos,1.07,0.82,0.52,4.76,0.68,2.22,2.4,0.57,2.56,5.19,5.38,4.0,0.61,1.87,2.22,1.34,0.67,1.04,0.71,1.29,0.0,0.4,0.0,0.59,1.83,0.72
121,physicscidadenova,1.18,0.9,0.21,2.93,0.5,0.61,1.53,1.26,0.17,2.06,3.33,2.0,0.75,0.95,1.32,0.55,1.43,0.21,0.67,0.18,0.0,0.0,0.0,0.65,1.05,0.06
122,physicsconselheirofurtado,1.35,0.81,0.0,0.29,0.14,0.06,0.07,0.64,0.22,0.12,5.38,0.0,0.55,0.27,0.51,0.0,0.5,0.0,0.07,0.0,0.0,0.0,1.67,0.0,0.46,0.0
123,physicsmacapa,1.14,0.85,0.2,2.33,0.0,1.0,0.44,2.75,0.5,0.5,1.0,2.0,1.33,2.78,0.0,0.0,1.25,0.25,0.0,3.08,0.0,0.0,0.11,0.0,0.89,0.0
124,physicsumarizal,1.08,0.85,0.18,3.95,0.68,1.06,1.67,1.14,0.33,1.81,7.69,1.33,0.58,1.13,2.29,1.07,2.92,0.31,1.0,0.71,0.2,0.4,0.07,4.88,1.25,0.28
125,pioxi,0.92,1.2,2.42,0.19,0.71,0.06,0.18,1.89,0.42,5.88,0.0,2.0,1.92,0.21,1.16,0.45,0.66,0.67,0.75,0.27,0.14,0.0,11.11,0.88,1.49,0.29
126,pioxiicolegio,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.07,1.58,0.0,0.56,0.0,0.0,5.88,0.0,0.0,0.0
127,plannetataboao,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0
128,poliedro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,3.03,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0
129,portinari,1.13,0.92,2.68,0.26,1.36,1.0,1.29,2.78,0.67,0.65,1.67,2.0,2.14,1.53,0.84,0.34,1.06,0.58,2.5,0.09,0.29,0.0,0.0,3.12,2.12,2.35
130,porto,1.01,1.0,0.26,3.7,1.79,2.17,1.0,0.26,0.42,2.06,0.83,4.0,1.89,2.84,1.03,1.31,1.06,1.46,0.08,0.0,0.0,0.0,0.56,0.47,1.22,0.0
131,portoseguro,3.85,3.85,0.0,2.45,0.07,7.14,7.14,0.29,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,primeirodemaio,1.33,0.86,0.07,0.57,0.0,0.3,0.22,0.08,0.0,0.0,0.0,0.0,0.07,0.44,0.0,0.0,0.5,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.11,0.0
133,prismapatrocinio,3.27,3.12,0.0,4.55,0.67,0.0,0.0,0.2,0.0,0.0,0.0,2.0,1.22,0.0,0.0,0.0,0.83,0.67,0.0,0.11,0.4,0.0,0.35,0.0,0.0,2.5
134,profederal,1.23,0.85,0.18,1.48,0.23,0.11,0.2,0.21,5.44,1.25,0.0,6.67,0.16,0.87,0.93,0.21,2.42,0.0,0.07,2.43,0.1,0.0,0.2,0.0,0.12,0.0
135,provaspoliedro,0.97,0.86,2.37,2.25,0.73,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.51,0.0,0.66,2.68,0.0,2.88,0.0,0.55,0.4,0.0,0.0,0.0,0.0,0.44
136,psantagema,1.0,0.8,1.47,2.9,1.92,10.0,2.78,0.58,1.5,0.0,0.0,1.0,2.2,11.11,0.25,0.4,1.5,5.25,0.0,0.08,0.0,0.0,0.56,0.0,0.44,1.0
137,sagradafamilia,0.91,0.95,0.0,3.67,0.08,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.25,0.2,0.25,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0
138,santadoroteia,1.09,0.92,0.0,2.43,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.25,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0
139,santoagostinho,0.97,0.97,0.0,3.1,0.17,0.0,0.0,0.17,0.0,0.5,0.0,0.0,0.0,0.0,17.5,18.6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,santoamerico,1.24,0.93,1.11,0.96,2.43,3.33,2.29,0.07,0.42,0.76,0.83,4.0,1.47,0.84,2.54,3.45,1.6,3.46,0.0,0.0,0.0,0.0,1.89,0.76,1.29,5.88
141,santoantonio,0.97,0.97,0.0,3.1,0.0,0.3,0.33,0.08,1.0,0.0,0.0,0.0,0.0,0.0,17.5,18.6,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,sas,0.95,0.94,0.0,3.48,0.17,0.3,0.11,8.33,50.0,3.5,100.0,0.0,0.13,0.22,25.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.11,0.0
143,sasadapt,0.95,0.97,0.07,2.95,0.17,0.3,0.44,0.25,1.5,0.5,0.0,0.0,0.0,0.11,0.0,0.2,0.0,0.0,0.0,1.42,0.67,0.0,0.0,0.0,0.11,0.0
144,sasadaptem,0.97,0.95,0.0,3.1,0.5,0.7,1.67,0.75,1.0,1.5,0.0,0.0,0.0,0.22,1.25,1.0,0.75,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0
145,saseducacao,0.95,0.97,0.0,3.24,0.17,0.3,0.78,0.17,2.0,0.5,0.0,0.0,0.0,0.11,3.0,1.8,0.25,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0
146,serios,1.26,1.31,0.0,1.39,0.0,0.33,0.76,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,simbios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,0.0,0.0,0.0
148,souhabilis,1.35,0.77,0.0,1.48,0.67,0.0,0.0,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0
149,spdacruz,1.05,0.93,2.5,0.29,2.55,0.28,0.67,2.5,0.0,0.88,1.54,0.0,3.23,0.6,1.68,1.76,0.42,3.19,0.21,0.14,0.0,0.0,0.73,0.06,2.0,2.94
150,stellamarisaguaverde,1.05,1.05,2.07,0.14,0.83,1.2,2.78,0.25,0.0,0.5,0.0,3.33,1.73,0.67,0.0,0.0,0.0,2.25,6.67,0.67,1.67,0.0,0.56,5.75,3.78,1.0
151,stellamarisjuveve,1.28,0.95,0.89,0.44,1.64,2.17,1.24,1.04,0.83,0.76,1.67,1.0,1.83,1.74,1.49,2.41,1.14,1.5,2.83,0.09,0.0,0.67,2.78,3.53,2.27,1.06
152,stellamarisxaxim,1.2,0.85,0.52,1.76,1.41,3.44,1.47,0.43,0.11,0.31,0.0,1.33,0.87,1.87,1.61,3.34,0.5,1.62,0.29,0.14,0.0,0.0,1.13,0.65,1.71,0.67
153,universitariolondrina,0.93,1.38,0.63,0.55,2.13,2.34,1.09,0.74,1.53,0.0,3.5,2.33,2.26,1.67,1.0,0.58,1.27,1.71,1.92,0.0,1.55,0.57,0.14,2.14,0.94,2.11
154,universobarcarena,1.23,0.84,0.98,0.52,0.64,0.33,0.4,1.0,0.11,3.44,0.0,0.0,0.55,0.4,1.54,1.55,0.92,0.42,0.0,0.86,0.1,0.0,0.07,0.82,2.21,0.22
155,villalobos,1.31,0.97,0.05,1.11,1.29,1.78,0.71,1.78,8.33,2.59,0.42,1.0,2.78,2.16,2.7,2.9,2.86,1.0,5.75,0.0,5.29,16.67,0.11,4.65,2.1,0.71
156,abdiasmartins,0.99,1.07,0.72,1.1,0.0,0.28,0.93,0.0,0.0,0.44,0.0,0.0,0.0,0.27,0.1,0.21,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.06,0.08,0.39
157,abiliomartins,1.06,1.08,0.33,0.62,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.11,0.0
158,alfacembilingue,0.0,0.0,0.0,0.0,1.04,0.67,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,alpha,0.99,0.94,1.88,2.05,0.0,5.56,1.2,0.0,11.11,3.75,0.0,0.0,0.0,6.67,1.44,0.86,1.5,1.19,0.79,0.0,0.4,0.0,0.07,1.71,1.88,2.44
160,anossaatmosfera,0.94,1.11,0.33,1.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,4.0,0.0,0.0,0.11,0.0
161,antoniairene,0.94,1.29,0.87,0.05,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,2.33,0.0,0.0,0.0,1.0,0.33,0.0
162,antoniolima,0.77,1.15,3.8,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.92,0.0,0.0,0.0,1.0,0.44,4.0
163,antoniomelo,1.02,0.92,1.4,0.9,0.0,0.2,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,5.58,0.0,0.0,0.0,0.0,0.22,0.0
164,atmo,0.0,0.0,0.0,0.0,0.0,1.33,0.76,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,beityaacov,1.03,0.97,0.0,2.52,0.0,0.0,0.0,0.58,0.0,0.5,3.0,0.0,0.0,0.0,1.25,1.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
166,benjaminconstant,1.26,1.32,0.0,1.39,0.0,0.0,0.61,0.0,0.33,1.2,0.0,0.0,0.0,0.95,0.81,0.77,0.58,0.0,0.0,0.0,0.0,6.25,0.0,5.26,2.5,0.0
167,catarinense,1.26,1.31,0.0,1.42,0.0,0.67,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,charlesdarwin,0.0,0.0,0.0,0.0,0.0,3.33,3.03,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,2.5,20.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,cognitivo,1.27,1.32,0.0,1.38,0.25,0.8,1.15,1.22,2.0,0.67,0.0,0.0,0.0,0.0,0.62,0.73,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.75,0.0
170,colegiobianguloiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,colegioliceu,0.92,0.95,0.0,3.52,0.0,2.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.25,0.4,0.0,0.25,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0
172,colegioprogresso,1.41,1.28,0.0,1.09,0.0,0.67,1.52,0.0,0.0,0.67,0.0,0.0,0.0,0.0,1.1,0.68,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,colegioriobranco,1.27,1.32,0.0,1.38,0.0,0.47,1.52,0.56,0.0,1.8,0.0,0.0,0.0,0.0,0.62,0.32,0.96,0.0,0.0,0.0,0.0,6.25,0.0,0.0,2.12,0.0
174,conradochaves,0.95,1.05,3.13,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.33,0.0,0.0,0.0,0.0,0.5,0.44,0.5
175,culturainglesa,0.77,0.83,6.67,0.43,0.0,0.0,0.11,0.0,0.5,1.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
176,dante,0.95,0.97,0.0,3.1,0.0,0.0,0.22,0.0,0.5,0.5,0.0,0.0,0.0,0.67,0.5,0.4,0.0,0.0,0.0,0.67,0.0,0.0,0.78,0.0,0.0,0.0
177,darwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,educamais,0.8,1.44,0.33,0.29,0.0,0.2,3.56,0.08,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.67,0.0,0.0,0.0,0.0,0.25,0.11,6.0
179,eldapereira,0.83,1.14,3.13,0.14,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.0,0.25,0.11,0.0
180,equipe,1.32,1.32,0.0,1.23,0.0,1.13,0.52,4.78,0.0,0.2,6.6,0.0,0.0,0.0,1.48,1.36,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,escoladofuturo,0.95,0.97,0.07,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,escolainternacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.2,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.12,0.0
183,escolajardimdasnacoes,1.27,1.31,0.0,1.39,1.04,2.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,3.77,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,franciscoperes,0.77,1.33,2.2,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.78,0.0
185,galois,1.23,1.31,0.0,1.52,0.0,2.0,0.76,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.71,0.36,0.83,0.0,0.0,0.0,0.0,0.0,0.0,5.26,1.56,0.0
186,gamt,1.02,1.0,2.0,0.38,0.0,1.4,1.22,0.0,0.5,1.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.0,0.0,0.0,11.33,0.0,0.0,0.25,0.78,0.5
187,guilhermefilho,0.85,1.14,1.6,0.05,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.25,0.11,0.0
188,idb,1.0,0.91,0.0,3.29,0.0,0.5,0.22,0.0,2.5,0.5,0.0,0.0,0.0,0.0,1.5,1.8,8.5,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0
189,ipdhsolucoes,1.03,1.21,0.26,0.15,0.0,0.03,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.07,0.0,0.17
190,iracemarufino,0.8,1.48,0.33,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.25,0.0,0.0,0.0,0.25,0.11,0.0
191,ismart,1.33,1.35,0.0,1.12,4.17,2.0,1.52,0.0,0.0,2.0,20.0,0.0,11.11,4.76,0.67,0.86,0.0,0.0,6.67,0.0,0.0,12.5,25.0,0.0,0.0,0.0
192,jeanpiaget,1.26,1.31,0.0,1.39,0.0,1.33,0.76,1.56,0.0,0.0,0.0,0.0,0.0,0.0,3.9,4.05,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,joaobelem,1.09,1.03,1.73,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,4.0,0.0,0.0,0.0,1.25,0.22,0.0
194,joaorosa,0.95,0.92,1.87,1.24,0.0,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
195,joaosampaio,0.91,1.21,1.25,0.14,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.86,0.0,0.0,0.0,0.12,0.08,0.0
196,liessin,1.29,0.86,0.2,0.76,0.0,0.9,0.78,0.0,1.0,0.5,0.0,33.33,0.0,0.44,0.0,0.0,0.0,0.0,1.0,0.83,0.0,0.0,0.0,0.25,0.89,0.0
197,liessinbarra,1.29,0.86,0.33,0.76,0.0,2.1,1.78,0.0,0.0,0.0,0.0,3.67,0.07,0.67,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
198,luizgonzaga,0.86,1.11,1.13,0.24,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,mariaeunice,0.91,1.06,3.47,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.25,0.67,0.0
200,marialaura,0.77,1.26,2.4,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.33,0.0,4.0,0.0,0.25,0.22,1.0
201,marianair,0.89,1.17,2.33,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.08,0.0,0.0,0.0,0.75,1.67,0.0
202,mariaolinda,0.82,1.26,2.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,0.0,0.0,0.0,0.0,0.5,0.11,0.5
203,moaciralves,0.98,1.05,1.0,0.67,0.0,0.7,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.33,5.75,0.0,0.0,6.89,0.25,0.22,0.0
204,monsenhorfrancisco,1.23,1.02,0.53,0.05,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0
205,monsenhorgoncalo,0.85,1.47,0.89,0.07,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.02,0.0
206,murilorocha,1.0,1.03,1.25,0.67,0.0,0.17,1.2,0.0,0.0,0.06,0.0,0.0,0.0,0.13,0.02,0.03,0.08,0.04,0.57,1.71,0.0,0.0,0.0,2.18,0.33,0.17
207,navegasas,1.52,1.31,12.5,0.61,3.12,0.0,2.79,2.11,0.0,2.2,0.0,0.0,2.44,1.57,0.0,0.0,0.92,6.6,3.33,0.0,0.0,0.0,0.0,5.26,0.0,0.0
208,nsfatima,0.83,1.23,2.47,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.33,0.0,0.0,0.0,0.0,0.25,0.0,0.5
209,pesenglish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,portalsas,1.36,1.24,0.0,1.32,0.0,0.0,0.0,0.0,3.22,1.33,0.0,0.0,0.0,0.0,1.67,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0
211,sasadaptfund,1.36,1.28,0.0,1.17,4.17,6.67,3.03,11.11,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
212,senhorbonfim,0.91,1.27,0.47,0.43,0.0,0.4,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,1.33,5.17,0.0,0.0,0.0,1.0,0.44,0.0
213,tiquinhodegente,1.33,0.95,0.13,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0
214,valdemiracoelho,0.92,1.01,1.15,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.03,0.08,0.0,0.07,0.43,0.0,0.0,0.0,0.06,0.08,0.0
215,visaorecife,1.29,1.26,0.0,1.48,0.0,0.0,0.0,0.0,5.11,0.13,0.0,0.0,0.0,2.86,0.14,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0
216,acessoemilianoperneta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,albertocabral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,amais,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,antoniocesar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,antonioportela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,apogeu,4.35,2.41,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,arlindocavalcanti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,arturtavares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,babycamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,babyhouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,barraazul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,benjamitacardona,2.39,4.05,4.29,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,bernardosayao,2.43,3.41,11.57,6.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,caur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0
230,cecb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,3.03,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,centroarcadenoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
