,namespace,M.Pdfs,M.Videos,M.Tarefas,M.S.Exs,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs,M. Total Questões,M. Questões Disc,M Questões Banco,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
25,cnslpb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3.33,0.0,0.0,5.56,0.0,0.0,0.65,0.0,0.0,0.0
26,colegioarena,0.89,0.96,5.26,1.0,0.13,0.0,0.09,0.41,0.06,0.0,0.67,1.16,1.2,0.1,0.45,1.58,0.47,0.29,0.0,1.09,0.7,0.0,0.0,0.0,0.06,0.17
27,colegiobatistaindependente,0.0,0.0,0.0,0.0,1.38,0.0,0.0,3.23,0.0,0.0,0.0,0.0,2.39,0.0,2.88,1.17,1.13,0.09,0.0,0.8,0.42,0.0,0.28,0.0,0.0,1.69
28,colegiobetelbrasileirosp,0.78,1.28,2.22,0.0,1.27,0.56,0.67,2.0,0.11,0.75,0.0,2.67,2.0,0.4,0.78,2.34,0.0,2.35,1.86,2.29,0.0,0.0,0.6,1.18,1.29,2.17
29,colegiobilac,0.91,0.94,2.87,1.52,6.67,2.5,0.11,5.0,3.0,0.0,0.0,0.0,2.8,3.22,0.0,0.0,0.0,2.0,3.0,1.08,0.33,0.0,2.44,3.0,3.67,0.0
30,colegiobrasilia,1.3,0.96,0.26,0.7,6.67,2.31,9.09,2.94,1.47,0.29,0.67,1.16,2.86,1.52,2.93,0.84,0.53,0.82,7.69,0.09,2.25,14.29,0.14,7.14,5.56,5.56
31,colegiocb,0.86,1.16,1.88,0.81,2.95,2.28,1.6,0.07,0.0,0.0,2.31,1.33,1.48,1.93,1.05,0.66,1.08,1.19,1.79,0.0,0.0,0.0,0.0,0.88,1.58,0.61
32,colegiodasamericas,1.07,0.99,1.35,0.52,1.77,5.0,2.47,2.29,4.11,1.38,1.54,4.0,1.39,3.07,1.07,2.28,0.75,3.85,2.86,0.0,5.3,1.6,0.07,1.88,1.08,5.56
33,colegioeag,0.93,1.25,1.79,0.07,0.07,0.67,0.24,0.04,0.0,0.18,0.0,2.0,0.06,0.74,0.24,0.21,0.51,1.25,0.0,0.55,0.07,0.67,2.33,1.35,0.95,5.47
34,colegioecursodesafio,0.76,1.25,1.88,1.9,1.59,1.0,0.6,0.64,0.33,0.25,1.54,2.67,1.0,1.33,1.46,1.1,4.5,0.69,0.07,0.14,0.1,0.0,0.2,0.24,2.0,0.78
35,colegioecursoprogressao,1.07,0.81,2.33,2.33,1.27,0.83,0.4,2.29,0.56,0.5,0.0,0.0,2.06,1.47,2.44,0.24,2.5,0.5,0.0,0.0,0.0,0.0,0.27,0.18,0.54,0.89
36,colegioeducallis,0.8,0.92,5.26,1.04,7.14,0.0,0.29,3.7,0.0,0.06,1.67,0.0,1.69,0.0,1.65,2.66,0.03,1.33,0.0,4.55,0.21,0.0,0.0,0.0,0.02,0.0
37,colegioensitec,1.03,1.12,1.27,0.29,1.33,1.6,0.22,4.75,1.0,0.0,0.0,1.0,1.73,1.56,0.0,0.0,0.5,4.0,0.33,0.33,1.67,0.0,3.67,3.25,1.33,2.5
38,colegioflamingo,1.09,0.86,1.6,1.24,5.25,6.0,1.11,1.08,0.5,0.5,0.0,1.33,3.07,4.0,0.25,0.2,4.25,4.0,0.0,0.58,0.0,0.0,0.33,0.0,0.78,0.5
39,colegiofuturageracao,1.03,0.86,3.73,0.24,7.17,2.5,3.44,4.5,1.0,0.5,0.0,3.0,5.93,2.33,0.25,0.2,0.0,4.25,0.0,1.33,0.0,0.0,4.89,0.25,2.0,2.0
40,colegioglobal,0.82,0.92,0.2,4.52,5.42,0.4,0.0,1.67,0.0,0.0,0.0,0.33,3.93,0.11,0.0,0.0,0.5,1.5,0.0,0.42,0.0,0.0,7.56,0.0,0.0,0.0
41,colegioguilhermedealmeida,0.99,0.92,3.58,0.85,0.07,5.56,1.82,0.04,2.58,1.53,0.0,0.0,0.08,5.26,0.62,1.72,1.29,4.17,0.0,0.09,7.14,0.0,0.89,0.24,2.44,1.76
42,colegioiguatemy,1.0,0.96,2.5,0.81,0.91,1.89,2.07,1.43,3.0,6.25,0.0,4.0,2.06,3.2,2.05,3.45,1.83,2.12,4.79,0.0,10.0,20.0,0.33,5.88,4.17,1.28
43,colegiointegral,0.86,1.39,1.11,0.7,0.67,3.45,0.18,2.29,5.88,14.29,0.0,1.16,1.66,4.76,3.45,1.21,2.73,0.65,4.0,0.18,4.7,0.0,0.0,4.14,3.56,2.56
44,colegiojoaopaulo,1.09,1.01,1.08,0.29,1.23,1.0,1.2,0.14,0.33,0.25,0.0,0.0,1.32,1.13,1.95,1.72,0.42,2.15,7.14,0.0,0.4,5.4,0.2,3.94,1.75,4.72
