,namespace,Motivo
106,elvirabrandao,Sem nenhuma subida de conteudo em cadernos
107,bahema,Sem nenhuma subida de conteudo em cadernos
108,fundacaobradesco,Sem nenhuma subida de conteudo em cadernos
109,cognita,Sem nenhuma subida de conteudo em cadernos
110,colegioprogresso,Sem nenhuma subida de conteudo em cadernos
111,gaylussac,Sem nenhuma subida de conteudo em cadernos
112,santamaria,Sem nenhuma subida de conteudo em cadernos
113,magnum,Sem nenhuma subida de conteudo em cadernos
114,tomasdeaquino,Sem nenhuma subida de conteudo em cadernos
115,darwin,Sem nenhuma subida de conteudo em cadernos
116,redeapogeu,Sem nenhuma subida de conteudo em cadernos
117,liderasas,Sem nenhuma subida de conteudo em cadernos
118,escolainternacional,Sem nenhuma subida de conteudo em cadernos
119,escolaidaam,Sem nenhuma subida de conteudo em cadernos
120,charlesdarwin,Sem nenhuma subida de conteudo em cadernos
121,playpen,Sem nenhuma subida de conteudo em cadernos
122,atmo,Sem nenhuma subida de conteudo em cadernos
123,colegiosalesianorn,Sem nenhuma subida de conteudo em cadernos
124,mobile,Sem nenhuma subida de conteudo em cadernos
125,vertice,Sem nenhuma subida de conteudo em cadernos
126,dantealighieri,Sem nenhuma subida de conteudo em cadernos
127,colegiosaberviver,Sem nenhuma subida de conteudo em cadernos
128,coreeschool,Sem nenhuma subida de conteudo em cadernos
129,jeanpiaget,Sem nenhuma subida de conteudo em cadernos
130,cav,Sem nenhuma subida de conteudo em cadernos
131,santamarcelina,Sem nenhuma subida de conteudo em cadernos
132,vitalbrazil,Sem nenhuma subida de conteudo em cadernos
133,nossasenhoradesion,Sem nenhuma subida de conteudo em cadernos
134,objetivoteresina,Sem nenhuma subida de conteudo em cadernos
135,visaorecife,Sem nenhuma subida de conteudo em cadernos
136,escolajardimdasnacoes,Sem nenhuma subida de conteudo em cadernos
137,colegiosaojudas,Sem nenhuma subida de conteudo em cadernos
138,alfacembilingue,Sem nenhuma subida de conteudo em cadernos
139,dommga,Sem nenhuma subida de conteudo em cadernos
140,cotemig,Sem nenhuma subida de conteudo em cadernos
141,liviacarneiro,Sem nenhuma subida de conteudo em cadernos
142,formacoesipu,Sem nenhuma subida de conteudo em cadernos
143,josepiaulino,Sem nenhuma subida de conteudo em cadernos
144,plannetataboao,Sem nenhuma subida de conteudo em cadernos
145,pannetaosasco,Sem nenhuma subida de conteudo em cadernos
