,namespace,(Prof) M. de Relas de A.As,(Prof) M. de Série de Exs,(Prof) M. de Relátorios de Cadernos,(Admin) M. de Relas de A.As,(Admin) M. de Série de Exs,(Admin) M. de Relátorios de Cadernos,(Admin) M. de Relátorios de ADs,(Admin) M. de  Relátorios Mensais/Qbrs,(Student) M. de Relas de A.As,(Student) M. de Relas de Exs
71,educandarioterciocorreia,5556.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,4820.0,0.0
72,educarse,11.0,24.0,21.0,39.0,0.0,0.0,0.0,0.0,78.0,12.0
73,einsteinassis,124.0,1838.0,359.0,41.0,1352.0,660.0,0.0,1.0,226.0,1073.0
74,elitecuritibaemilianoperneta,700.0,164.0,25.0,707.0,61.0,18.0,2.0,1.0,7905.0,439.0
75,eluneonline,62.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,74.0,0.0
76,equipe,15.0,3.0,2.0,45.0,0.0,1.0,5.0,0.0,54.0,13.0
77,escolaceciliameireles,360.0,0.0,0.0,114.0,17.0,0.0,0.0,0.0,1155.0,13.0
78,escolamaster,141.0,56.0,12.0,21.0,0.0,0.0,0.0,0.0,491.0,17.0
79,faculdadeflamingo,1205.0,2497.0,543.0,218.0,152.0,290.0,0.0,1.0,11203.0,7387.0
80,franciscopinto,37.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0
81,francobrasileiro,2.0,105.0,7.0,8.0,2.0,2.0,6.0,2.0,37.0,177.0
82,insa,79.0,73.0,29.0,50.0,9.0,36.0,0.0,1.0,240.0,284.0
83,institutocristao,48.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,65.0,0.0
84,institutoeurofarma,28.0,4.0,0.0,1000.0,394.0,33.0,5.0,3.0,2989.0,599.0
85,integra,4973.0,171.0,223.0,747.0,5.0,41.0,0.0,0.0,7298.0,185.0
86,integradaeducativa,5260.0,437.0,241.0,2733.0,30.0,37.0,0.0,0.0,37015.0,1763.0
87,invictus,3218.0,172.0,484.0,2207.0,0.0,219.0,1.0,0.0,8741.0,337.0
88,iracemarufino,19.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
89,isem,2059.0,18.0,67.0,690.0,0.0,58.0,0.0,1.0,17684.0,87.0
90,ismart,191.0,41.0,18.0,70.0,9.0,25.0,12.0,0.0,482.0,80.0
91,itamarati,93.0,8.0,37.0,11.0,0.0,3.0,0.0,0.0,677.0,8.0
92,jardimsaopaulo,43.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0
93,joaobelem,15.0,0.0,231.0,0.0,0.0,32.0,0.0,0.0,39.0,0.0
94,josepinheiro,594.0,855.0,174.0,9.0,9.0,3.0,0.0,0.0,1005.0,1003.0
95,laboratoriosromildo,231.0,0.0,0.0,66.0,3.0,0.0,0.0,0.0,188.0,14.0
96,liessin,16.0,64.0,7.0,3.0,7.0,27.0,0.0,12.0,63.0,72.0
97,liessinbarra,19.0,49.0,14.0,1.0,8.0,27.0,0.0,6.0,101.0,38.0
98,litteratus,80.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,4.0,2.0
99,macvest,54.0,264.0,136.0,386.0,160.0,894.0,0.0,0.0,752.0,188.0
