,namespace,Total Conteudos,ARTICLE,Tarefas,AUDIO,EMBEDCONTENT,S.Exs,GDOCS,GSHEETS,GSLIDES,LINKCONTENT,LINKEDEXAM,PRESENTATION,VIDEO,VIDEOCONF
90,eacorcovado,4210,242.0,902.0,74.0,0.0,299.0,0.0,1.0,0.0,105.0,7.0,2065.0,293.0,222.0
91,eccos,5948,2619.0,634.0,13.0,4.0,364.0,45.0,0.0,832.0,160.0,5.0,827.0,415.0,30.0
92,educamais,338,12.0,30.0,6.0,9.0,222.0,0.0,0.0,0.0,12.0,0.0,18.0,27.0,2.0
93,educarse,221,0.0,0.0,0.0,12.0,25.0,0.0,0.0,0.0,7.0,0.0,66.0,105.0,6.0
94,einsteinassis,5822,195.0,418.0,0.0,0.0,1214.0,0.0,0.0,2.0,42.0,0.0,576.0,710.0,2665.0
95,eldapereira,399,0.0,177.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,9.0,203.0,0.0
96,elitecuritiba,7342,4289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,2969.0,0.0,1.0
97,elitecuritibaemilianoperneta,2490,631.0,49.0,0.0,0.0,256.0,0.0,0.0,0.0,942.0,0.0,595.0,17.0,0.0
98,eluneonline,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,engenhomoscou,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,equipe,25,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0
101,escolaceciliameireles,765,7.0,702.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,43.0,0.0
102,escoladofuturo,447,0.0,4.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,108.0,109.0,1.0
103,escolamaster,2442,0.0,0.0,0.0,0.0,1140.0,0.0,0.0,0.0,0.0,0.0,740.0,562.0,0.0
104,esmg,798,0.0,1.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,190.0,187.0,0.0
105,faculdadeflamingo,6637,1252.0,405.0,0.0,1.0,651.0,2.0,0.0,0.0,250.0,13.0,2890.0,684.0,489.0
106,forumcultural,897,0.0,8.0,0.0,14.0,455.0,0.0,0.0,0.0,5.0,0.0,206.0,207.0,2.0
107,franciscoperes,207,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0
108,franciscopinto,59,2.0,52.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
109,francobrasileiro,6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
110,gamt,81,22.0,37.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,9.0,0.0
111,goncalomartins,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0
112,guilhermefilho,114,0.0,23.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,59.0,0.0
113,hamiltondarocha,2113,23.0,962.0,7.0,0.0,141.0,5.0,0.0,1.0,234.0,0.0,227.0,507.0,6.0
114,herciliovilanova,8,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
