,namespace,Produto,n_usuarios,licenças,Deal Owner,receita 2021,namespace hubspot
209,mariaolinda,Pedagógico,148.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
210,moaciralves,Pedagógico,224.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
211,mocinhagomes,Pedagógico,39.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
212,monsenhorfrancisco,Pedagógico,98.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
213,monsenhorgoncalo,Pedagógico,866.0,800 - 1200,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
214,navegasas,Pedagógico,9.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
215,nsfatima,Pedagógico,177.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
216,pedrocamelo,Pedagógico,187.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
217,pesenglish,Pedagógico,44.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
218,portalsas,Pedagógico,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
219,sasadaptfund,Pedagógico,34.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
220,senhorbonfim,Pedagógico,164.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
221,tiquinhodegente,Pedagógico,103.0,30 - 400,Talitha Diane Santos,3920.0,OK
222,valdemiracoelho,Pedagógico,497.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
223,vicentecravo,Pedagógico,44.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
224,visaorecife,Pedagógico,7.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
225,acessoemilianoperneta,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
226,albertocabral,Banco,59.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
227,amais,Banco,667.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
228,antoniocesar,Banco,15.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
229,antonioportela,Banco,42.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
230,apogeu,Banco,12.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
231,arlindocavalcanti,Banco,259.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
232,arturtavares,Banco,408.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
233,babycamp,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
234,babyhouse,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
235,barraazul,Banco,195.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
236,benjamitacardona,Banco,261.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
237,bernardosayao,Banco,291.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
238,caur,Banco,101.0,30 - 400,Cassiano Benetelli,S/Receita 2021 Hubspot,OK
239,cecb,Banco,838.0,800 - 1200,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
240,centroarcadenoe,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
241,cermac,Banco,465.0,400 - 800,Cassiano Benetelli,S/Receita 2021 Hubspot,OK
242,cfc,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
243,cicerofranklin,Banco,290.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
244,colegioanchietai,Banco,21.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
245,colegioanchietaii,Banco,14.0,0 - 30,Bruno Oliveira,S/Receita 2021 Hubspot,OK
246,colegiobiangulo,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
247,colegiocanarinho,Banco,69.0,30 - 400,Talitha Diane Santos,2720.0,OK
248,colegioevoluir,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
249,colegioma,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
250,colegiomilitardompedroii,Banco,414.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
251,colegiotelescastelao,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
252,colegiotelesmourabrasil,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
253,colegiovitoria,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
254,colsaberviver,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
255,contratos2021,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
256,criancaesperanca,Banco,147.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
257,djanirapereira,Banco,41.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
258,domhelder,Banco,41.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
259,duquecastilho,Banco,202.0,30 - 400,Talitha Diane Santos,7730.0,OK
260,educacaoinfantilsemear,Banco,13.0,0 - 30,Talitha Diane Santos,520.0,OK
261,educaprime,Banco,5.0,0 - 30,Talitha Diane Santos,200.0,OK
262,eliteemilianoperneta,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
263,eluneonline,Banco,40.0,30 - 400,Fernanda Pereira,4094.5,OK
264,escolabedelandia,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
265,escolacristaboaviagem,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
266,escolacristacandeias,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
267,escolacristaemaldeia,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
268,escolacristaempiedade,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
269,escolacristanavarzea,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
270,escolasantaclara,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
271,escolinhacaca,Banco,7.0,0 - 30,Talitha Diane Santos,280.0,OK
272,espacoeducar,Banco,32.0,30 - 400,Talitha Diane Santos,1280.0,OK
273,franciscanopioxii,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
274,goncalomartins,Banco,71.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
275,grandepasso,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
276,habilisescolaecurso,Banco,77.0,30 - 400,Talitha Diane Santos,3080.0,OK
277,herciliovilanova,Banco,15.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
278,institutokairos,Banco,120.0,30 - 400,Talitha Diane Santos,4760.0,OK
279,Ipdhsolucoes,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
280,joaoferreira,Banco,135.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
281,joaoxxiii,Banco,625.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
282,josecabral,Banco,25.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
283,josemariano,Banco,26.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
284,josemelo,Banco,445.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
285,josesoares,Banco,99.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
286,kidsbaby,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
287,liviasoares,Banco,65.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
288,magno,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
289,magnumagostiniano,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
290,manoelbatista,Banco,14.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
291,manoelbernardino,Banco,203.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
292,manoelmarcelino,Banco,40.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
293,manoelqueiroz,Banco,160.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
294,mariacarmo,Banco,445.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
295,marialeao,Banco,77.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
296,mariamerces,Banco,13.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
297,marqueslima,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
298,mastersolucoes,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
299,materdei,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
300,melquiadescamelo,Banco,108.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
301,msetemporario,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
302,nsconceicao,Banco,30.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
303,nucleo,Banco,12.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
304,oswalddeandrade,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
305,palasatena,Banco,37.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
306,paulovi,Banco,14.0,0 - 30,Talitha Diane Santos,560.0,OK
307,pauloviana,Banco,769.0,400 - 800,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
308,pcf,Banco,216.0,30 - 400,Cassiano Benetelli,S/Receita 2021 Hubspot,OK
309,pedromurilo,Banco,261.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
310,physicsagustomontenegro,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
311,physicstrescoracoes,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
312,pluricrecheescola,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
313,podion,Banco,331.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
314,positivo,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
315,potenciacao,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
316,primeiromundo,Banco,11.0,0 - 30,Talitha Diane Santos,330.0,OK
317,recriar,Banco,14.0,0 - 30,Talitha Diane Santos,560.0,OK
318,rosadesaron,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
319,rosanaponte,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
320,santoagostinhomg,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
321,saoluiz,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
322,saosebastiao,Banco,33.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
323,scoredu,Banco,3.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
324,senninha,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
325,sistemaeducacionalmaster,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
326,sonhodecrianca,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
327,sosmamaecoruja,Banco,5.0,0 - 30,Talitha Diane Santos,320.0,OK
328,tialo,Banco,46.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
329,tiathais,Banco,47.0,30 - 400,Talitha Diane Santos,1260.0,OK
330,venceslauchaves,Banco,187.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
331,viladainfanciaeusebio,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
332,viladainfanciafortaleza,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
333,vitaldidonet,Banco,0.0,0 - 30,Talitha Diane Santos,S/Receita 2021 Hubspot,OK
334,zecarioca,Banco,397.0,30 - 400,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
335,colegiosantadoroteia,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
336,augustolaranja,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
337,classea,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
338,saobento,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
339,cruzeiro,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
340,notredame,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
341,lerote,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
342,santoamericoteste,Banco,4.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
343,colegiosaoluis,Banco,2.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
344,veracruz,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
345,santacruz,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
346,esmg,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
347,elvirabrandao,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
348,bahema,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
349,cognita,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
350,gaylussac,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
351,santamaria,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
352,magnum,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
353,tomasdeaquino,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
354,redeapogeu,Banco,28.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
355,liderasas,Banco,1.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
356,riobrancocampinas,Banco,0.0,0 - 30,S/Deal Owner Hubspot,S/Receita 2021 Hubspot,S/Namespace Hubspot
