,namespace,Total Conteudos,PDFS,Videos,Tarefas,S.Exs
158,physicsumarizal,3141,1992.0,104.0,72.0,944.0
159,pioxi,3097,528.0,1505.0,1029.0,21.0
160,portinari,6058,3043.0,312.0,2359.0,134.0
161,porto,398,234.0,32.0,11.0,118.0
162,portoseguro,11,0.0,0.0,0.0,0.0
163,primeirodemaio,442,244.0,71.0,9.0,38.0
164,prismapatrocinio,18,1.0,2.0,0.0,11.0
165,profederal,2781,1677.0,139.0,27.0,179.0
166,provaspoliedro,30,22.0,0.0,2.0,5.0
167,psantagema,968,385.0,9.0,183.0,391.0
168,raimundoalves,25,15.0,2.0,5.0,2.0
169,riobrancocampinas,29,7.0,0.0,4.0,4.0
170,sagradafamilia,2545,772.0,569.0,0.0,1204.0
171,santadoroteia,2545,772.0,569.0,0.0,1204.0
172,santoagostinho,584,158.0,160.0,0.0,266.0
173,santoamerico,10805,3889.0,1447.0,1073.0,666.0
174,sas,25677,5731.0,6346.0,528.0,8735.0
175,sasadapt,24,1.0,0.0,2.0,6.0
176,sasadaptem,112,29.0,26.0,0.0,57.0
177,sasadaptfund,893,350.0,215.0,0.0,327.0
178,saseducacao,1855,588.0,454.0,0.0,813.0
179,senhorbonfim,589,146.0,336.0,58.0,12.0
180,serios,358,166.0,80.0,0.0,108.0
181,spdacruz,1986,940.0,284.0,603.0,63.0
182,stellamarisaguaverde,4578,1892.0,1139.0,1440.0,87.0
183,stellamarisjuveve,11780,7597.0,1757.0,1707.0,675.0
184,stellamarisxaxim,6114,4609.0,224.0,449.0,788.0
185,universitariolondrina,9754,2905.0,5168.0,800.0,738.0
186,universobarcarena,3634,2868.0,115.0,514.0,136.0
187,valdemiracoelho,749,260.0,207.0,105.0,38.0
188,venceslauchaves,17,1.0,16.0,0.0,0.0
189,vicentecravo,235,6.0,70.0,154.0,5.0
190,villalobos,5697,3810.0,265.0,352.0,1130.0
191,zacariasliberato,119,2.0,52.0,43.0,0.0
