,namespace,M. Total Questões,M. Questões Disc,M. Questões Banco
146,mariacarmo,0.0,0.0,0.0
147,marialeao,0.0,0.0,0.0
148,mariamerces,0.0,0.0,0.0
149,mariliamattoso,21.81,9.43,8.57
150,master,18.35,0.09,0.15
151,moaciralves,7.02,1.75,0.71
152,mocinhagomes,2.16,0.15,0.1
153,monsenhorfrancisco,0.0,0.0,0.0
154,monsenhorgoncalo,0.75,0.12,0.0
155,motiva,7.8100000000000005,0.0,2.5
156,murilorocha,1.46,0.37,1.65
157,navegasas,39.0,22.0,9.5
158,novotempo,0.02,0.01,0.03
159,nucleocriativo,26.06,1.95,0.0
160,objetivolorena,32.47,1.28,1.65
161,overabelcabral,30.55,1.01,1.03
162,overjoaopessoa,54.98,0.5,11.29
163,overlimaesilva,26.64,0.0,0.0
164,overmarciliofurtado,36.04,0.38,2.18
165,overmossoro,33.47,0.6,2.57
166,overnascimentodecastro,0.91,0.0,0.79
167,overpontanegra,38.19,0.69,1.81
168,overzonanorte,49.92,0.39,9.84
169,pauloviana,0.17,0.0,0.44
170,pesenglish,0.09,0.0,0.09
171,physicsalcindocacela,5.89,0.06,3.33
172,physicsalmirantebarroso,24.02,1.44,1.77
173,physicsaugustomontenegro,27.61,1.54,0.73
174,physicsbatistacampos,39.6,2.39,2.03
175,physicscidadenova,21.01,1.04,1.58
176,physicsconselheirofurtado,8.76,0.02,1.01
177,physicsmacapa,40.06,1.11,9.66
178,physicsumarizal,39.37,2.24,3.82
179,pioxi,22.54,2.03,0.73
180,pioxiicolegio,8.81,1.96,1.26
181,plannetataboao,0.12,0.0,0.0
182,poliedro,4.67,0.0,0.0
183,portalsas,1.33,0.67,1.67
184,portinari,12.09,0.66,0.88
185,porto,16.9,7.45,1.48
186,portoseguro,0.75,0.09,0.0
187,prevest,4.85,0.0,5.81
188,primeirodemaio,2.45,0.08,2.77
189,prismapatrocinio,12.65,0.73,2.47
190,profederal,31.73,0.39,7.37
191,provaspoliedro,8.87,3.51,0.03
192,psantagema,57.74,24.71,9.35
193,raimundoalves,0.11,0.0,0.33
194,riobrancocampinas,37.0,4.0,0.0
195,sagradafamilia,7.8100000000000005,0.5,1.15
196,santadoroteia,7.8100000000000005,0.5,1.54
197,santoagostinho,0.0,0.0,0.0
198,santoamerico,13.45,3.49,3.19
199,santoantonio,0.0,0.0,0.0
200,saosebastiao,0.0,0.0,0.0
201,sas,7.8100000000000005,0.5,0.65
202,sasadapt,4.85,0.46,1.69
203,sasadaptem,7.8100000000000005,17.83,4.5
204,sasadaptfund,7.8100000000000005,16.89,0.42
205,saseducacao,0.0,0.0,0.0
206,senhorbonfim,3.03,0.77,0.0
207,serios,7.8100000000000005,0.5,12.0
208,souhabilis,7.64,0.0,80.49
209,spdacruz,31.22,7.08,1.12
210,stellamarisaguaverde,15.81,7.19,0.07
211,stellamarisjuveve,24.97,9.74,1.3
212,stellamarisxaxim,31.46,10.56,1.29
213,tiquinhodegente,0.25,0.0,0.5
214,universitariolondrina,18.09,0.62,1.97
215,universobarcarena,32.01,3.56,4.17
216,valdemiracoelho,3.41,0.39,0.23
217,vicentecravo,0.64,0.0,1.09
218,villalobos,8.5,2.99,0.99
219,zacariasliberato,0.5,0.0,0.0
220,antoniolima,0.0,0.0,0.0
221,caur,0.0,0.0,0.0
222,cermac,0.0,0.0,0.0
223,colegiopremiumgentil,0.0,0.0,0.0
224,domus,0.0,0.0,0.0
225,elitecuritiba,0.0,0.0,0.01
226,franciscoperes,0.0,0.0,0.0
227,ipdhsolucoes,0.0,0.0,0.0
228,joaosampaio,0.0,0.0,0.0
229,liderasas,0.0,0.0,0.0
230,luizgonzaga,0.0,0.0,0.0
231,mariaeunice,0.0,0.0,0.0
232,marialaura,0.0,0.0,0.0
233,marianair,0.0,0.0,0.0
234,mariaolinda,0.0,0.0,0.0
235,melquiadescamelo,0.0,0.0,0.0
236,montessori,0.0,0.0,0.0
237,nsfatima,0.0,0.0,0.0
238,oficinadoestudante,0.0,0.0,0.23
239,palmares,0.0,0.0,5.0
240,pedrocamelo,0.0,0.0,0.0
241,simbios,0.0,0.0,0.0
242,tiathais,0.0,0.0,0.0
243,venceslauchaves,0.0,0.0,0.0
244,arlindocavalcanti,0.0,0.0,0.0
245,habilisescolaecurso,0.0,0.0,0.0
246,santoagostinhomg,0.0,0.0,0.0
