,namespace,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
105,overjoaopessoa,1.56,0.0,3.14,0.0,0.0,2.75,3.0,0.97,0.0
106,overlimaesilva,24.43,1.0,2.39,0.0,0.0,0.0,5.0,32.56,0.04
107,overmarciliofurtado,5.73,6.0,3.45,0.21,2.0,5.4,23.0,28.54,0.44
108,overmossoro,2.43,0.0,1.8,0.0,0.0,2.69,3.0,8.82,0.22
109,overpontanegra,8.52,4.0,11.33,0.0,0.0,6.3,20.0,51.72,0.32
110,overzonanorte,10.34,12.0,2.72,0.0,0.0,4.46,36.0,22.13,0.34
111,physicsalcindocacela,1.17,1.0,200.0,0.0,2.0,5.06,14.0,5.4,0.0
112,physicsalmirantebarroso,6.62,31.0,4.02,0.0,1.0,1.59,80.0,43.19,0.05
113,physicsaugustomontenegro,6.22,17.0,2.66,0.0,0.0,1.28,62.0,26.5,0.16
114,physicsbatistacampos,26.1,16.0,24.0,0.0,1.0,0.61,51.0,83.17,0.19
115,physicscidadenova,5.59,20.0,5.87,0.0,0.0,1.21,63.0,30.14,0.02
116,physicsconselheirofurtado,0.11,1.0,0.0,0.0,0.0,34.71,2.0,20.02,0.0
117,physicsmacapa,3.15,1.0,23.75,0.01,0.0,0.76,3.0,22.34,0.0
118,physicsumarizal,8.09,24.0,12.16,0.15,1.0,1.88,420.0,57.2,0.07
119,pioxi,19.58,22.0,9.47,0.24,0.0,251.0,82.0,43.02,0.13
120,pioxiicolegio,14.22,0.0,2.88,0.02,0.0,49.0,0.0,0.0,0.0
121,portinari,16.75,74.0,1.86,0.48,0.0,0.89,289.0,61.92,0.97
122,porto,41.64,3.0,0.66,0.01,0.0,12.37,43.0,35.45,0.01
123,primeirodemaio,1.66,0.0,8.56,0.0,0.0,0.0,0.0,2.65,0.0
124,prismapatrocinio,6.02,0.0,0.5,0.39,0.0,2.91,0.0,0.0,0.16
125,profederal,0.22,2.0,46.33,0.12,0.0,4.63,1.0,5.76,0.0
126,provaspoliedro,51.05,0.0,19.09,0.4,0.0,0.9,0.0,0.06,0.05
127,psantagema,92.61,0.0,0.92,0.0,0.0,3.38,0.0,11.69,0.46
128,raimundoalves,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
129,sagradafamilia,0.15,0.0,25.0,0.0,0.0,0.0,0.0,0.36,0.0
130,santoamerico,100.15,1.0,1.48,0.03,0.0,42.89,72.0,37.73,2.4
131,santoamericoteste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,santoantonio,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
133,sasadapt,0.53,0.0,10.67,0.38,0.0,0.0,0.0,2.97,0.0
134,sasadaptem,0.29,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
135,saseducacao,0.19,0.0,16.0,0.0,0.0,0.0,0.0,0.31,0.0
136,senhorbonfim,0.52,10.0,40.0,0.0,0.0,0.0,28.0,12.25,0.0
137,spdacruz,80.51,5.0,1.99,0.0,0.0,14.94,7.0,90.6,0.75
138,stellamarisaguaverde,38.4,55.0,5.28,0.96,0.0,3.77,175.0,100.01,0.48
139,stellamarisjuveve,43.67,84.0,2.61,0.01,1.0,62.71,330.0,65.94,0.42
