,namespace,Produto,n_usuarios,licenças,Deal Owner
84,idaam,Pedagógico,2990.0,1200 - x,S/Deal Owner Hubspot
85,insa,Pedagógico,124.0,30 - 400,Fernanda Pereira
86,institutocristao,Diagnóstico,59.0,30 - 400,Fernanda Pereira
87,institutoeurofarma,Pedagógico,292.0,30 - 400,Fernanda Pereira
88,integra,Pedagógico,208.0,30 - 400,Ederson Fonseca
89,integradaeducativa,Pedagógico,585.0,400 - 800,Marcos Rocha
90,invictus,Pedagógico,129.0,30 - 400,Fernanda Moreira
91,isem,Pedagógico,481.0,400 - 800,Fernanda Moreira
92,itamarati,Pedagógico,732.0,400 - 800,S/Deal Owner Hubspot
93,jardimsaopaulo,Pedagógico,256.0,30 - 400,S/Deal Owner Hubspot
94,laboratoriosromildo,Pedagógico,155.0,30 - 400,Fernanda Pereira
95,litteratus,Pedagógico,244.0,30 - 400,S/Deal Owner Hubspot
96,macvest,Pedagógico,198.0,30 - 400,S/Deal Owner Hubspot
97,magister,Diagnóstico,316.0,30 - 400,Marcos Rocha
98,maplebearslz,Diagnóstico,617.0,400 - 800,S/Deal Owner Hubspot
99,mariliamattoso,Pedagógico,662.0,400 - 800,S/Deal Owner Hubspot
100,master,Pedagógico,4284.0,1200 - x,Magnum Queiroz
101,montessori,Diagnóstico,77.0,30 - 400,S/Deal Owner Hubspot
102,motiva,Pedagógico,243.0,30 - 400,S/Deal Owner Hubspot
103,novotempo,Pedagógico,1130.0,800 - 1200,S/Deal Owner Hubspot
104,nucleocriativo,Pedagógico,252.0,30 - 400,Fernanda Moreira
105,objetivolorena,Pedagógico,757.0,400 - 800,Fernanda Moreira
106,objetivoteresina,Pedagógico,6.0,0 - 30,S/Deal Owner Hubspot
107,oficinadoestudante,Pedagógico,2445.0,1200 - x,S/Deal Owner Hubspot
108,overabelcabral,Pedagógico,748.0,400 - 800,S/Deal Owner Hubspot
109,overjoaopessoa,Pedagógico,180.0,30 - 400,S/Deal Owner Hubspot
110,overlimaesilva,Pedagógico,207.0,30 - 400,S/Deal Owner Hubspot
111,overmarciliofurtado,Pedagógico,399.0,30 - 400,S/Deal Owner Hubspot
112,overmossoro,Pedagógico,291.0,30 - 400,S/Deal Owner Hubspot
113,overnascimentodecastro,Pedagógico,474.0,400 - 800,S/Deal Owner Hubspot
114,overpontanegra,Pedagógico,442.0,400 - 800,S/Deal Owner Hubspot
115,overzonanorte,Pedagógico,312.0,30 - 400,S/Deal Owner Hubspot
116,palmares,Pedagógico,6.0,0 - 30,S/Deal Owner Hubspot
117,physicsalcindocacela,Pedagógico,926.0,800 - 1200,S/Deal Owner Hubspot
118,physicsalmirantebarroso,Pedagógico,923.0,800 - 1200,S/Deal Owner Hubspot
119,physicsaugustomontenegro,Pedagógico,690.0,400 - 800,S/Deal Owner Hubspot
120,physicsbatistacampos,Pedagógico,517.0,400 - 800,S/Deal Owner Hubspot
121,physicscidadenova,Pedagógico,1029.0,800 - 1200,S/Deal Owner Hubspot
122,physicsconselheirofurtado,Pedagógico,567.0,400 - 800,S/Deal Owner Hubspot
123,physicsmacapa,Pedagógico,279.0,30 - 400,S/Deal Owner Hubspot
124,physicsumarizal,Pedagógico,554.0,400 - 800,S/Deal Owner Hubspot
125,pioxi,Pedagógico,1167.0,800 - 1200,Marcos Rocha
126,pioxiicolegio,Diagnóstico,722.0,400 - 800,S/Deal Owner Hubspot
127,plannetataboao,Diagnóstico,16302.0,1200 - x,S/Deal Owner Hubspot
128,poliedro,Diagnóstico,3345.0,1200 - x,S/Deal Owner Hubspot
129,portinari,Pedagógico,1082.0,800 - 1200,S/Deal Owner Hubspot
130,porto,Pedagógico,809.0,800 - 1200,S/Deal Owner Hubspot
131,portoseguro,Diagnóstico,601.0,400 - 800,S/Deal Owner Hubspot
132,primeirodemaio,Pedagógico,242.0,30 - 400,S/Deal Owner Hubspot
133,prismapatrocinio,Diagnóstico,612.0,400 - 800,S/Deal Owner Hubspot
134,profederal,Pedagógico,404.0,400 - 800,S/Deal Owner Hubspot
135,provaspoliedro,Pedagógico,4268.0,1200 - x,S/Deal Owner Hubspot
136,psantagema,Pedagógico,133.0,30 - 400,Fernanda Moreira
137,sagradafamilia,Pedagógico,229.0,30 - 400,S/Deal Owner Hubspot
138,santadoroteia,Pedagógico,109.0,30 - 400,Bruno Oliveira
139,santoagostinho,Pedagógico,73.0,30 - 400,S/Deal Owner Hubspot
140,santoamerico,Pedagógico,843.0,800 - 1200,S/Deal Owner Hubspot
141,santoantonio,Pedagógico,58.0,30 - 400,S/Deal Owner Hubspot
142,sas,Pedagógico,55.0,30 - 400,S/Deal Owner Hubspot
143,sasadapt,Pedagógico,287.0,30 - 400,S/Deal Owner Hubspot
144,sasadaptem,Pedagógico,33.0,30 - 400,S/Deal Owner Hubspot
145,saseducacao,Pedagógico,89.0,30 - 400,S/Deal Owner Hubspot
146,serios,Pedagógico,6.0,0 - 30,S/Deal Owner Hubspot
147,simbios,Pedagógico,305.0,30 - 400,S/Deal Owner Hubspot
148,souhabilis,Pedagógico,178.0,30 - 400,Fernanda Moreira
149,spdacruz,Pedagógico,744.0,400 - 800,Marcos Rocha
150,stellamarisaguaverde,Pedagógico,359.0,30 - 400,S/Deal Owner Hubspot
151,stellamarisjuveve,Pedagógico,1031.0,800 - 1200,S/Deal Owner Hubspot
152,stellamarisxaxim,Pedagógico,507.0,400 - 800,S/Deal Owner Hubspot
153,universitariolondrina,Pedagógico,1692.0,1200 - x,S/Deal Owner Hubspot
154,universobarcarena,Pedagógico,627.0,400 - 800,S/Deal Owner Hubspot
155,villalobos,Pedagógico,1000.0,800 - 1200,Magnum Queiroz
156,abdiasmartins,Pedagógico,448.0,400 - 800,S/Deal Owner Hubspot
157,abiliomartins,Pedagógico,367.0,30 - 400,S/Deal Owner Hubspot
158,alfacembilingue,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot
159,alpha,Pedagógico,633.0,400 - 800,Fernanda Moreira
160,anossaatmosfera,Pedagógico,110.0,30 - 400,Fernanda Pereira
161,antoniairene,Pedagógico,188.0,30 - 400,S/Deal Owner Hubspot
162,antoniolima,Pedagógico,224.0,30 - 400,S/Deal Owner Hubspot
163,antoniomelo,Pedagógico,312.0,30 - 400,S/Deal Owner Hubspot
164,atmo,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot
165,beityaacov,Pedagógico,32.0,30 - 400,S/Deal Owner Hubspot
166,benjaminconstant,Pedagógico,24.0,0 - 30,S/Deal Owner Hubspot
167,catarinense,Pedagógico,8.0,0 - 30,S/Deal Owner Hubspot
168,charlesdarwin,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot
169,cognitivo,Pedagógico,10.0,0 - 30,S/Deal Owner Hubspot
170,colegiobianguloiv,Pedagógico,50.0,30 - 400,S/Deal Owner Hubspot
171,colegioliceu,Pedagógico,192.0,30 - 400,S/Deal Owner Hubspot
172,colegioprogresso,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot
173,colegioriobranco,Pedagógico,8.0,0 - 30,S/Deal Owner Hubspot
174,conradochaves,Pedagógico,340.0,30 - 400,S/Deal Owner Hubspot
175,culturainglesa,Pedagógico,138.0,30 - 400,S/Deal Owner Hubspot
176,dante,Pedagógico,86.0,30 - 400,S/Deal Owner Hubspot
177,darwin,Pedagógico,1176.0,800 - 1200,S/Deal Owner Hubspot
178,educamais,Pedagógico,81.0,30 - 400,S/Deal Owner Hubspot
179,eldapereira,Pedagógico,247.0,30 - 400,S/Deal Owner Hubspot
180,equipe,Pedagógico,8.0,0 - 30,S/Deal Owner Hubspot
181,escoladofuturo,Pedagógico,59.0,30 - 400,S/Deal Owner Hubspot
182,escolainternacional,Pedagógico,14.0,0 - 30,S/Deal Owner Hubspot
183,escolajardimdasnacoes,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot
184,franciscoperes,Pedagógico,101.0,30 - 400,S/Deal Owner Hubspot
185,galois,Pedagógico,8.0,0 - 30,S/Deal Owner Hubspot
186,gamt,Pedagógico,164.0,30 - 400,Fernanda Pereira
187,guilhermefilho,Pedagógico,377.0,30 - 400,S/Deal Owner Hubspot
188,idb,Pedagógico,36.0,30 - 400,S/Deal Owner Hubspot
189,ipdhsolucoes,Pedagógico,5415.0,1200 - x,S/Deal Owner Hubspot
190,iracemarufino,Pedagógico,283.0,30 - 400,S/Deal Owner Hubspot
191,ismart,Pedagógico,6.0,0 - 30,S/Deal Owner Hubspot
192,jeanpiaget,Pedagógico,5.0,0 - 30,S/Deal Owner Hubspot
193,joaobelem,Pedagógico,286.0,30 - 400,S/Deal Owner Hubspot
194,joaorosa,Pedagógico,270.0,30 - 400,S/Deal Owner Hubspot
195,joaosampaio,Pedagógico,477.0,400 - 800,S/Deal Owner Hubspot
196,liessin,Pedagógico,64.0,30 - 400,S/Deal Owner Hubspot
197,liessinbarra,Pedagógico,41.0,30 - 400,S/Deal Owner Hubspot
198,luizgonzaga,Pedagógico,200.0,30 - 400,S/Deal Owner Hubspot
199,mariaeunice,Pedagógico,256.0,30 - 400,S/Deal Owner Hubspot
200,marialaura,Pedagógico,395.0,30 - 400,S/Deal Owner Hubspot
201,marianair,Pedagógico,161.0,30 - 400,S/Deal Owner Hubspot
202,mariaolinda,Pedagógico,207.0,30 - 400,S/Deal Owner Hubspot
203,moaciralves,Pedagógico,279.0,30 - 400,S/Deal Owner Hubspot
204,monsenhorfrancisco,Pedagógico,153.0,30 - 400,S/Deal Owner Hubspot
205,monsenhorgoncalo,Pedagógico,962.0,800 - 1200,S/Deal Owner Hubspot
206,murilorocha,Pedagógico,651.0,400 - 800,S/Deal Owner Hubspot
207,navegasas,Pedagógico,11.0,0 - 30,S/Deal Owner Hubspot
208,nsfatima,Pedagógico,241.0,30 - 400,S/Deal Owner Hubspot
209,pesenglish,Pedagógico,99.0,30 - 400,S/Deal Owner Hubspot
210,portalsas,Pedagógico,4.0,0 - 30,S/Deal Owner Hubspot
