,namespace,Produto,n_usuarios,licenças,Deal Owner
350,riobrancocampinas,Banco,5.0,0 - 30,S/Deal Owner Hubspot
351,escolaidaam,Banco,5.0,0 - 30,S/Deal Owner Hubspot
352,playpen,Banco,5.0,0 - 30,S/Deal Owner Hubspot
353,colegiosalesianorn,Banco,5.0,0 - 30,S/Deal Owner Hubspot
354,blueschooleducacional,Banco,44.0,30 - 400,S/Deal Owner Hubspot
355,mobile,Banco,5.0,0 - 30,S/Deal Owner Hubspot
356,vertice,Banco,5.0,0 - 30,S/Deal Owner Hubspot
357,dantealighieri,Banco,2077.0,1200 - x,S/Deal Owner Hubspot
358,coreeschool,Banco,0.0,0 - 30,S/Deal Owner Hubspot
359,cav,Banco,8.0,0 - 30,S/Deal Owner Hubspot
360,santamarcelina,Banco,5.0,0 - 30,S/Deal Owner Hubspot
361,vitalbrazil,Banco,7.0,0 - 30,S/Deal Owner Hubspot
362,nossasenhoradesion,Banco,5.0,0 - 30,S/Deal Owner Hubspot
363,colegiosaojudas,Banco,5.0,0 - 30,S/Deal Owner Hubspot
364,cotemig,Banco,1172.0,800 - 1200,S/Deal Owner Hubspot
365,vicentecravo,Banco,57.0,30 - 400,S/Deal Owner Hubspot
366,engenhomoscou,Banco,66.0,30 - 400,S/Deal Owner Hubspot
367,liviacarneiro,Banco,75.0,30 - 400,S/Deal Owner Hubspot
368,josepinheiro,Banco,556.0,400 - 800,S/Deal Owner Hubspot
369,manoelfrancisco,Banco,55.0,30 - 400,S/Deal Owner Hubspot
370,formacoesipu,Banco,507.0,400 - 800,S/Deal Owner Hubspot
371,mocinhagomes,Banco,51.0,30 - 400,S/Deal Owner Hubspot
372,zacariasliberato,Banco,50.0,30 - 400,S/Deal Owner Hubspot
373,raimundoalves,Banco,62.0,30 - 400,S/Deal Owner Hubspot
374,franciscopinto,Banco,41.0,30 - 400,S/Deal Owner Hubspot
375,hamiltondarocha,Banco,386.0,30 - 400,S/Deal Owner Hubspot
376,josepiaulino,Banco,475.0,400 - 800,S/Deal Owner Hubspot
377,pannetaosasco,Banco,0.0,0 - 30,S/Deal Owner Hubspot
